	GCA_002899375.1_ASM289937v1_protein	GCA_002899415.1_ASM289941v1_protein	GCF_000264275.1_ASM26427v1_protein	GCF_000292365.1_ASM29236v1_protein	GCF_000336425.1_ASM33642v1_protein	GCF_000342205.1_SerMar_1.0_protein	GCF_000418815.1_S_marcescensMC620-1.0_protein	GCF_000418835.1_S_marcescensMC6001-1.0_protein	GCF_000418855.2_S_marcescensMC6000-1.0_protein	GCF_000418875.1_S_marcescensMC460-1.0_protein	GCF_000418895.1_S_marcescensMC459-1.0_protein	GCF_000418915.1_S_marcescensMC458-1.0_protein	GCF_000418935.1_S_marcescensAB42556419-isolate1-1.0_protein	GCF_000442375.1_S.marcescens_LCT-SM262_protein	GCF_000442455.1_S.marcescens_LCT-SM166_protein	GCF_000465615.2_GS_De_Novo_Assembly_protein	GCF_000513215.1_DB11_protein	GCF_000521905.1_Serr_marc_BIDMC_50_V1_protein	GCF_000521925.1_Serr_marc_BIDMC_44_V1_protein	GCF_000633335.1_de_novo_protein	GCF_000633555.1_de_novo_protein	GCF_000633695.1_Serr_marc_BIDMC_81_V1_protein	GCF_000633715.1_Serr_marc_BIDMC_80_V1_protein	GCF_000695485.1_smgenome_protein	GCF_000734475.1_ASM73447v1_protein	GCF_000735445.1_GSMA_DRAFTv1_protein	GCF_000738535.1_ASM73853v1_protein	GCF_000739215.1_ASM73921v1_protein	GCF_000743395.1_SAS_1_protein	GCF_000751195.1_Serratia_assembly_protein	GCF_000783615.1_ASM78361v2_protein	GCF_000783915.2_ASM78391v2_protein	GCF_000783975.2_ASM78397v2_protein	GCF_000805875.1_SmRM66262_v1.0_protein	GCF_000828775.1_ASM82877v1_protein	GCF_001007555.1_2015-04-28_protein	GCF_001022215.1_ASM102221v1_protein	GCF_001030265.1_Serr_marc_BWH57_V1_protein	GCF_001034395.1_Serr_marc_UCI87_V1_protein	GCF_001034405.1_Serr_marc_UCI88_V1_protein	GCF_001051865.1_ASM105186v1_protein	GCF_001060335.1_ASM106033v1_protein	GCF_001060585.1_ASM106058v1_protein	GCF_001060625.1_ASM106062v1_protein	GCF_001060655.1_ASM106065v1_protein	GCF_001061145.1_ASM106114v1_protein	GCF_001061195.1_ASM106119v1_protein	GCF_001061225.1_ASM106122v1_protein	GCF_001062235.1_ASM106223v1_protein	GCF_001062285.1_ASM106228v1_protein	GCF_001063125.1_ASM106312v1_protein	GCF_001063145.1_ASM106314v1_protein	GCF_001063175.1_ASM106317v1_protein	GCF_001063325.1_ASM106332v1_protein	GCF_001063375.1_ASM106337v1_protein	GCF_001064335.1_ASM106433v1_protein	GCF_001064345.1_ASM106434v1_protein	GCF_001064455.1_ASM106445v1_protein	GCF_001064715.1_ASM106471v1_protein	GCF_001064725.1_ASM106472v1_protein	GCF_001064835.1_ASM106483v1_protein	GCF_001064855.1_ASM106485v1_protein	GCF_001064975.1_ASM106497v1_protein	GCF_001065325.1_ASM106532v1_protein	GCF_001065405.1_ASM106540v1_protein	GCF_001065845.1_ASM106584v1_protein	GCF_001065935.1_ASM106593v1_protein	GCF_001066015.1_ASM106601v1_protein	GCF_001066945.1_ASM106694v1_protein	GCF_001067015.1_ASM106701v1_protein	GCF_001067375.1_ASM106737v1_protein	GCF_001068085.1_ASM106808v1_protein	GCF_001076625.1_ASM107662v1_protein	GCF_001280365.1_ASM128036v1_protein	GCF_001294565.1_ASM129456v1_protein	GCF_001317205.2_56_S29v.02_protein	GCF_001317425.2_59_S30v.02_protein	GCF_001417865.2_ASM141786v2_protein	GCF_001643155.1_ASM164315v1_protein	GCF_001853455.1_ASM185345v1_protein	GCF_001853495.1_ASM185349v1_protein	GCF_001889685.1_ASM188968v1_protein	GCF_001902635.1_ASM190263v1_protein	GCF_001908015.1_ASM190801v1_protein	GCF_001908035.1_ASM190803v1_protein	GCF_001909165.1_ASM190916v1_protein	GCF_001932655.1_ASM193265v1_protein	GCF_001940505.1_ASM194050v1_protein	GCF_001975745.1_ASM197574v1_protein	GCF_002007925.1_ASM200792v2_protein	GCF_002029205.1_ASM202920v1_protein	GCF_002029225.1_ASM202922v1_protein	GCF_002094145.1_ASM209414v1_protein	GCF_002104095.1_ASM210409v1_protein	GCF_002104105.1_ASM210410v1_protein	GCF_002104115.1_ASM210411v1_protein	GCF_002108655.1_ASM210865v1_protein	GCF_002118055.1_ASM211805v1_protein	GCF_002152845.1_ASM215284v1_protein	GCF_002153355.1_ASM215335v1_protein	GCF_002205475.1_ASM220547v1_protein	GCF_002220515.1_ASM222051v1_protein	GCF_002220535.1_ASM222053v1_protein	GCF_002220555.1_ASM222055v1_protein	GCF_002220575.1_ASM222057v1_protein	GCF_002220595.1_ASM222059v1_protein	GCF_002220615.1_ASM222061v1_protein	GCF_002220635.1_ASM222063v1_protein	GCF_002220655.1_ASM222065v1_protein	GCF_002220675.1_ASM222067v1_protein	GCF_002220695.1_ASM222069v1_protein	GCF_002220715.1_ASM222071v1_protein	GCF_002250685.1_ASM225068v1_protein	GCF_002264105.1_ASM226410v1_protein	GCF_002264175.1_ASM226417v1_protein	GCF_002264285.1_ASM226428v1_protein	GCF_002265665.1_ASM226566v1_protein	GCF_002592035.1_ASM259203v1_protein	GCF_002738105.1_ASM273810v1_protein	GCF_002738145.1_ASM273814v1_protein	GCF_002738155.1_ASM273815v1_protein	GCF_002738185.1_ASM273818v1_protein	GCF_002762595.1_ASM276259v1_protein	GCF_002810285.1_ASM281028v1_protein	GCF_002886905.1_ASM288690v1_protein	GCF_002887105.1_ASM288710v1_protein	GCF_002899335.1_ASM289933v1_protein	GCF_002899355.1_ASM289935v1_protein	GCF_002899365.1_ASM289936v1_protein	GCF_002915435.1_ASM291543v1_protein	GCF_002915445.1_ASM291544v1_protein	GCF_002915475.1_ASM291547v1_protein	GCF_002920335.1_ASM292033v1_protein	GCF_002920345.1_ASM292034v1_protein	GCF_002920375.1_ASM292037v1_protein	GCF_002920385.1_ASM292038v1_protein	GCF_002920415.1_ASM292041v1_protein	GCF_002920435.1_ASM292043v1_protein	GCF_002920455.1_ASM292045v1_protein	GCF_002920475.1_ASM292047v1_protein	GCF_002920485.1_ASM292048v1_protein	GCF_002920515.1_ASM292051v1_protein	GCF_002947235.1_ASM294723v1_protein	GCF_900029885.1_Sm_SMB2099_protein	GCF_900108835.1_SM1978_protein
GCA_002899375.1_ASM289937v1_protein	4319	4082	3991	3909	4094	4056	3794	3793	3793	3785	3797	3798	3793	3648	3973	4091	3965	3924	3871	3908	3908	3949	3895	3983	3823	4020	3951	3872	4028	4017	3967	3882	3967	3744	3874	3905	3838	3791	4073	3899	3995	3805	3893	3943	3941	4065	3894	3891	4074	3903	4045	4044	4042	3944	3960	4042	4039	4039	3963	3944	3959	3959	3961	3994	3975	3809	3818	3819	3870	3872	3897	3813	4040	3926	3875	3846	3847	4127	3914	3946	3946	3653	3680	3850	3767	3914	3950	4083	4115	3475	3981	4005	4145	3874	3873	3876	4183	3807	3885	3868	4023	3926	4017	3858	3970	3935	3953	3908	3902	3919	3969	3951	3831	3884	3882	3889	3848	4139	3848	3862	3792	3842	3968	3867	3848	3847	4314	3983	4041	3927	4081	4081	3879	3909	3873	3912	3915	3873	3904	3873	3915	3879	3900	3891	3782
GCA_002899415.1_ASM289941v1_protein	4082	4568	4191	4121	4311	4261	4064	4063	4061	4056	4067	4064	4059	3819	4173	4294	4166	4155	4081	4120	4120	4136	4102	4182	4005	4224	4155	4103	4233	4223	4176	4093	4171	3928	4088	4128	4080	4038	4399	4098	4194	4012	4073	4167	4164	4416	4074	4071	4425	4084	4291	4291	4289	4151	4170	4289	4287	4287	4172	4152	4168	4169	4172	4245	4192	4077	4088	4000	4053	4060	4090	4017	4287	4160	4103	4084	4087	4320	4164	4151	4151	3845	3887	4058	3943	4102	4155	4322	4310	3665	4197	4208	4333	4076	4075	4077	4346	4074	4113	4067	4228	4161	4235	4056	4186	4173	4164	4160	4105	4140	4185	4190	4064	4095	4093	4099	4023	4328	4045	4054	3987	4054	4118	4060	4102	4102	4370	4199	4246	4163	4432	4432	4057	4099	4064	4103	4105	4064	4109	4064	4105	4049	4087	4064	4016
GCF_000264275.1_ASM26427v1_protein	3991	4191	4535	4103	4241	4246	4013	4012	4013	4006	4017	4018	4011	4138	4506	4222	4239	4143	4130	4103	4102	4155	4146	4489	4048	4324	4261	4117	4333	4322	4146	4101	4196	3995	4094	4105	4071	3995	4221	4142	4257	4041	4125	4250	4248	4216	4126	4123	4226	4135	4226	4226	4224	4236	4254	4224	4221	4221	4255	4236	4251	4252	4256	4342	4167	4028	4038	4063	4116	4122	4100	4012	4221	4144	4123	4068	4073	4264	4183	4134	4134	3842	3903	4073	4028	4066	4138	4230	4257	3652	4406	4389	4257	4110	4110	4112	4283	4005	4143	4120	4204	4146	4347	4134	4263	4219	4243	4131	4146	4150	4262	4173	4044	4098	4095	4100	3957	4265	4064	4078	3982	4097	4071	4082	4052	4051	4279	4185	4345	4154	4234	4234	4150	4134	4141	4135	4137	4140	4107	4141	4136	4132	4109	4133	4008
GCF_000292365.1_ASM29236v1_protein	3909	4121	4103	4731	4216	4220	4106	4109	4109	4102	4114	4120	4108	3738	4090	4182	4123	4106	4106	4714	4716	4120	4145	4099	4025	4122	4169	4098	4131	4121	4337	4132	4160	3971	4162	4134	4170	4061	4180	4108	4124	4166	4091	4115	4113	4130	4092	4088	4138	4101	4207	4204	4203	4128	4148	4203	4200	4200	4150	4131	4146	4146	4149	4128	4148	4133	4146	4030	4085	4091	4154	4100	4199	4117	4147	4206	4217	4238	4171	4299	4300	3866	4002	4068	3991	4198	4305	4215	4225	3792	4190	4136	4199	4080	4080	4082	4217	4113	4083	4091	4157	4155	4154	4086	4154	4120	4137	4281	4164	4118	4153	4157	4143	4135	4126	4133	3916	4205	4061	4092	3991	4096	4026	4101	4170	4162	4186	4166	4138	4155	4188	4188	4124	4088	4094	4088	4091	4095	4134	4094	4089	4093	4146	4078	4113
GCF_000336425.1_ASM33642v1_protein	4094	4311	4241	4216	4683	4369	4132	4130	4129	4122	4134	4135	4128	3875	4240	4482	4232	4200	4168	4225	4226	4203	4164	4247	4089	4299	4224	4142	4306	4292	4267	4158	4227	3993	4142	4226	4147	4091	4340	4169	4264	4093	4138	4215	4212	4335	4140	4136	4345	4151	4373	4373	4373	4192	4211	4372	4369	4369	4214	4192	4209	4209	4212	4291	4324	4137	4149	4058	4113	4122	4168	4083	4369	4192	4135	4128	4159	4392	4203	4244	4244	3900	3973	4139	4006	4210	4249	4513	4518	3749	4281	4266	4403	4145	4144	4146	4404	4140	4147	4142	4425	4195	4288	4103	4247	4209	4219	4263	4190	4175	4246	4241	4128	4171	4169	4175	4200	4376	4107	4098	4020	4086	4193	4104	4157	4154	4386	4296	4300	4197	4329	4329	4155	4154	4169	4158	4160	4170	4151	4169	4160	4116	4152	4138	4073
GCF_000342205.1_SerMar_1.0_protein	4056	4261	4246	4220	4369	4687	4111	4120	4119	4111	4123	4131	4117	3862	4229	4335	4243	4182	4154	4219	4220	4190	4157	4240	4076	4249	4274	4112	4258	4245	4266	4153	4241	4001	4146	4210	4142	4092	4290	4131	4238	4112	4139	4245	4242	4283	4141	4137	4290	4149	4464	4464	4463	4241	4262	4463	4461	4459	4265	4245	4259	4260	4263	4259	4265	4134	4145	4102	4160	4157	4170	4059	4458	4211	4156	4200	4206	4354	4216	4289	4289	3899	3962	4117	4051	4242	4293	4377	4377	3742	4260	4249	4338	4113	4112	4113	4353	4114	4132	4144	4319	4221	4263	4122	4265	4256	4262	4251	4159	4186	4264	4241	4153	4162	4151	4160	4058	4345	4109	4140	4046	4114	4165	4147	4156	4155	4348	4237	4267	4200	4314	4314	4154	4137	4142	4138	4140	4142	4164	4142	4139	4137	4168	4114	4118
GCF_000418815.1_S_marcescensMC620-1.0_protein	3794	4064	4013	4106	4132	4111	4757	4739	4717	4728	4749	4722	4717	3664	4013	4102	4052	4047	4047	4119	4120	4051	4059	4020	3962	4031	4081	4045	4037	4027	4198	4068	4061	3903	4079	4109	4495	4354	4098	4058	4063	4085	4024	4047	4044	4079	4023	4019	4087	4033	4113	4112	4110	4082	4096	4109	4108	4108	4098	4087	4097	4094	4102	4052	4139	4579	4593	4030	4084	4064	4066	4065	4106	4051	4058	4373	4392	4114	4132	4195	4196	3827	3931	4042	3916	4112	4200	4139	4134	3690	4042	4025	4092	4033	4033	4035	4115	4334	4039	4022	4062	4094	4032	4014	4071	4059	4068	4215	4078	4105	4071	4110	4388	4111	4090	4095	3832	4082	4006	4086	3965	4095	3894	4091	4451	4454	4070	4105	4034	4081	4115	4115	4056	4029	4054	4028	4031	4054	4045	4055	4029	4019	4039	4012	4294
GCF_000418835.1_S_marcescensMC6001-1.0_protein	3793	4063	4012	4109	4130	4120	4739	4863	4818	4835	4854	4831	4825	3664	4012	4100	4051	4047	4047	4123	4124	4050	4061	4019	3959	4043	4092	4042	4049	4039	4197	4066	4060	3903	4109	4117	4539	4411	4097	4058	4063	4082	4021	4044	4041	4084	4021	4018	4094	4032	4113	4110	4108	4081	4095	4107	4106	4106	4097	4083	4096	4093	4101	4050	4138	4624	4638	4042	4097	4063	4067	4062	4104	4051	4057	4437	4455	4139	4136	4228	4229	3835	3929	4042	3914	4109	4233	4136	4132	3693	4042	4050	4091	4033	4032	4034	4114	4396	4038	4021	4060	4094	4030	4012	4069	4059	4078	4227	4076	4103	4069	4120	4391	4169	4108	4151	3829	4081	4068	4127	4004	4139	3896	4134	4496	4495	4068	4103	4046	4082	4112	4112	4057	4028	4054	4027	4030	4054	4046	4055	4028	4017	4043	4010	4338
GCF_000418855.2_S_marcescensMC6000-1.0_protein	3793	4061	4013	4109	4129	4119	4717	4818	4835	4810	4825	4828	4823	3664	4012	4100	4050	4044	4046	4124	4124	4049	4066	4021	3959	4043	4091	4045	4050	4040	4197	4061	4058	3902	4106	4116	4536	4398	4097	4061	4062	4087	4022	4045	4042	4086	4023	4020	4095	4031	4114	4111	4109	4081	4096	4108	4106	4106	4098	4084	4095	4094	4099	4053	4137	4622	4634	4045	4101	4067	4069	4063	4105	4049	4054	4430	4448	4139	4133	4226	4226	3831	3926	4042	3916	4108	4230	4137	4132	3688	4045	4051	4091	4034	4032	4035	4115	4394	4039	4024	4060	4094	4030	4011	4068	4057	4077	4226	4071	4101	4068	4120	4387	4164	4103	4146	3830	4083	4066	4126	3996	4131	3898	4133	4489	4487	4068	4102	4047	4079	4115	4115	4055	4028	4053	4028	4030	4053	4046	4054	4029	4017	4044	4010	4338
GCF_000418875.1_S_marcescensMC460-1.0_protein	3785	4056	4006	4102	4122	4111	4728	4835	4810	4854	4844	4820	4815	3655	4005	4093	4043	4037	4040	4116	4116	4042	4058	4013	3953	4035	4084	4037	4042	4032	4189	4059	4051	3896	4101	4107	4530	4401	4090	4053	4055	4080	4016	4037	4034	4076	4016	4014	4086	4026	4107	4104	4102	4077	4090	4101	4099	4099	4092	4079	4092	4088	4096	4045	4130	4615	4629	4037	4091	4058	4063	4056	4098	4042	4049	4430	4446	4132	4128	4220	4220	3825	3922	4035	3910	4100	4224	4129	4125	3680	4038	4044	4084	4027	4026	4028	4107	4389	4033	4015	4052	4084	4023	4005	4062	4052	4068	4217	4068	4094	4062	4111	4380	4160	4101	4144	3827	4073	4062	4121	3994	4133	3889	4128	4487	4484	4061	4095	4040	4072	4108	4108	4050	4023	4050	4022	4024	4049	4040	4051	4024	4011	4038	4003	4333
