	GCA_002899375.1_ASM289937v1_protein	GCA_002899415.1_ASM289941v1_protein	GCF_000264275.1_ASM26427v1_protein	GCF_000292365.1_ASM29236v1_protein	GCF_000336425.1_ASM33642v1_protein	GCF_000342205.1_SerMar_1.0_protein	GCF_000418815.1_S_marcescensMC620-1.0_protein	GCF_000418835.1_S_marcescensMC6001-1.0_protein	GCF_000418855.2_S_marcescensMC6000-1.0_protein	GCF_000418875.1_S_marcescensMC460-1.0_protein	GCF_000418895.1_S_marcescensMC459-1.0_protein	GCF_000418915.1_S_marcescensMC458-1.0_protein	GCF_000418935.1_S_marcescensAB42556419-isolate1-1.0_protein	GCF_000442375.1_S.marcescens_LCT-SM262_protein	GCF_000442455.1_S.marcescens_LCT-SM166_protein	GCF_000465615.2_GS_De_Novo_Assembly_protein	GCF_000513215.1_DB11_protein	GCF_000521905.1_Serr_marc_BIDMC_50_V1_protein	GCF_000521925.1_Serr_marc_BIDMC_44_V1_protein	GCF_000633335.1_de_novo_protein	GCF_000633555.1_de_novo_protein	GCF_000633695.1_Serr_marc_BIDMC_81_V1_protein	GCF_000633715.1_Serr_marc_BIDMC_80_V1_protein	GCF_000695485.1_smgenome_protein	GCF_000734475.1_ASM73447v1_protein	GCF_000735445.1_GSMA_DRAFTv1_protein	GCF_000738535.1_ASM73853v1_protein	GCF_000739215.1_ASM73921v1_protein	GCF_000743395.1_SAS_1_protein	GCF_000751195.1_Serratia_assembly_protein	GCF_000783615.1_ASM78361v2_protein	GCF_000783915.2_ASM78391v2_protein	GCF_000783975.2_ASM78397v2_protein	GCF_000805875.1_SmRM66262_v1.0_protein	GCF_000828775.1_ASM82877v1_protein	GCF_001007555.1_2015-04-28_protein	GCF_001022215.1_ASM102221v1_protein	GCF_001030265.1_Serr_marc_BWH57_V1_protein	GCF_001034395.1_Serr_marc_UCI87_V1_protein	GCF_001034405.1_Serr_marc_UCI88_V1_protein	GCF_001051865.1_ASM105186v1_protein	GCF_001060335.1_ASM106033v1_protein	GCF_001060585.1_ASM106058v1_protein	GCF_001060625.1_ASM106062v1_protein	GCF_001060655.1_ASM106065v1_protein	GCF_001061145.1_ASM106114v1_protein	GCF_001061195.1_ASM106119v1_protein	GCF_001061225.1_ASM106122v1_protein	GCF_001062235.1_ASM106223v1_protein	GCF_001062285.1_ASM106228v1_protein	GCF_001063125.1_ASM106312v1_protein	GCF_001063145.1_ASM106314v1_protein	GCF_001063175.1_ASM106317v1_protein	GCF_001063325.1_ASM106332v1_protein	GCF_001063375.1_ASM106337v1_protein	GCF_001064335.1_ASM106433v1_protein	GCF_001064345.1_ASM106434v1_protein	GCF_001064455.1_ASM106445v1_protein	GCF_001064715.1_ASM106471v1_protein	GCF_001064725.1_ASM106472v1_protein	GCF_001064835.1_ASM106483v1_protein	GCF_001064855.1_ASM106485v1_protein	GCF_001064975.1_ASM106497v1_protein	GCF_001065325.1_ASM106532v1_protein	GCF_001065405.1_ASM106540v1_protein	GCF_001065845.1_ASM106584v1_protein	GCF_001065935.1_ASM106593v1_protein	GCF_001066015.1_ASM106601v1_protein	GCF_001066945.1_ASM106694v1_protein	GCF_001067015.1_ASM106701v1_protein	GCF_001067375.1_ASM106737v1_protein	GCF_001068085.1_ASM106808v1_protein	GCF_001076625.1_ASM107662v1_protein	GCF_001280365.1_ASM128036v1_protein	GCF_001294565.1_ASM129456v1_protein	GCF_001317205.2_56_S29v.02_protein	GCF_001317425.2_59_S30v.02_protein	GCF_001417865.2_ASM141786v2_protein	GCF_001643155.1_ASM164315v1_protein	GCF_001853455.1_ASM185345v1_protein	GCF_001853495.1_ASM185349v1_protein	GCF_001889685.1_ASM188968v1_protein	GCF_001902635.1_ASM190263v1_protein	GCF_001908015.1_ASM190801v1_protein	GCF_001908035.1_ASM190803v1_protein	GCF_001909165.1_ASM190916v1_protein	GCF_001932655.1_ASM193265v1_protein	GCF_001940505.1_ASM194050v1_protein	GCF_001975745.1_ASM197574v1_protein	GCF_002007925.1_ASM200792v2_protein	GCF_002029205.1_ASM202920v1_protein	GCF_002029225.1_ASM202922v1_protein	GCF_002094145.1_ASM209414v1_protein	GCF_002104095.1_ASM210409v1_protein	GCF_002104105.1_ASM210410v1_protein	GCF_002104115.1_ASM210411v1_protein	GCF_002108655.1_ASM210865v1_protein	GCF_002118055.1_ASM211805v1_protein	GCF_002152845.1_ASM215284v1_protein	GCF_002153355.1_ASM215335v1_protein	GCF_002205475.1_ASM220547v1_protein	GCF_002220515.1_ASM222051v1_protein	GCF_002220535.1_ASM222053v1_protein	GCF_002220555.1_ASM222055v1_protein	GCF_002220575.1_ASM222057v1_protein	GCF_002220595.1_ASM222059v1_protein	GCF_002220615.1_ASM222061v1_protein	GCF_002220635.1_ASM222063v1_protein	GCF_002220655.1_ASM222065v1_protein	GCF_002220675.1_ASM222067v1_protein	GCF_002220695.1_ASM222069v1_protein	GCF_002220715.1_ASM222071v1_protein	GCF_002250685.1_ASM225068v1_protein	GCF_002264105.1_ASM226410v1_protein	GCF_002264175.1_ASM226417v1_protein	GCF_002264285.1_ASM226428v1_protein	GCF_002265665.1_ASM226566v1_protein	GCF_002592035.1_ASM259203v1_protein	GCF_002738105.1_ASM273810v1_protein	GCF_002738145.1_ASM273814v1_protein	GCF_002738155.1_ASM273815v1_protein	GCF_002738185.1_ASM273818v1_protein	GCF_002762595.1_ASM276259v1_protein	GCF_002810285.1_ASM281028v1_protein	GCF_002886905.1_ASM288690v1_protein	GCF_002887105.1_ASM288710v1_protein	GCF_002899335.1_ASM289933v1_protein	GCF_002899355.1_ASM289935v1_protein	GCF_002899365.1_ASM289936v1_protein	GCF_002915435.1_ASM291543v1_protein	GCF_002915445.1_ASM291544v1_protein	GCF_002915475.1_ASM291547v1_protein	GCF_002920335.1_ASM292033v1_protein	GCF_002920345.1_ASM292034v1_protein	GCF_002920375.1_ASM292037v1_protein	GCF_002920385.1_ASM292038v1_protein	GCF_002920415.1_ASM292041v1_protein	GCF_002920435.1_ASM292043v1_protein	GCF_002920455.1_ASM292045v1_protein	GCF_002920475.1_ASM292047v1_protein	GCF_002920485.1_ASM292048v1_protein	GCF_002920515.1_ASM292051v1_protein	GCF_002947235.1_ASM294723v1_protein	GCF_900029885.1_Sm_SMB2099_protein	GCF_900108835.1_SM1978_protein
OG0009357	PNU28306.1																																																																																																																																																
OG0009358	PNU28307.1																																																																																																																																																
OG0009359	PNU28380.1																																																																																																																																																
OG0009360	PNU28417.1																																																																																																																																																
OG0009361	PNU28542.1																																																																																																																																																
OG0009362	PNU28543.1																																																																																																																																																
OG0009363	PNU28561.1																																																																																																																																																
OG0009364	PNU28690.1																																																																																																																																																
OG0009365	PNU29037.1																																																																																																																																																
OG0009366	PNU29923.1																																																																																																																																																
OG0009367	PNU30227.1																																																																																																																																																
OG0009368	PNU30414.1																																																																																																																																																
OG0009369	PNU30619.1																																																																																																																																																
OG0009370	PNU30917.1																																																																																																																																																
OG0009371		PNU29515.1																																																																																																																																															
OG0009372		PNU29672.1																																																																																																																																															
OG0009373		PNU29676.1																																																																																																																																															
OG0009374		PNU29678.1																																																																																																																																															
OG0009375		PNU30325.1																																																																																																																																															
OG0009376		PNU34994.1																																																																																																																																															
OG0009377		PNU36150.1																																																																																																																																															
OG0009378		PNU36151.1																																																																																																																																															
OG0009379		PNU36537.1																																																																																																																																															
OG0009380		PNU36538.1																																																																																																																																															
OG0009381		PNU36542.1																																																																																																																																															
OG0009382		PNU36548.1																																																																																																																																															
OG0009383		PNU36839.1																																																																																																																																															
OG0009384		PNU36840.1																																																																																																																																															
OG0009385		PNU36841.1																																																																																																																																															
OG0009386		PNU36842.1																																																																																																																																															
OG0009387		PNU36843.1																																																																																																																																															
OG0009388		PNU36846.1																																																																																																																																															
OG0009389		PNU37051.1																																																																																																																																															
OG0009390		PNU37052.1																																																																																																																																															
OG0009391				GCF_000292365.1|WP_100219117.1																																																																																																																																													
OG0009392				GCF_000292365.1|WP_100219143.1																																																																																																																																													
OG0009393				GCF_000292365.1|WP_100219146.1																																																																																																																																													
OG0009394					GCF_000336425.1|WP_015377437.1																																																																																																																																												
OG0009395					GCF_000336425.1|WP_015378052.1																																																																																																																																												
OG0009396					GCF_000336425.1|WP_015378054.1																																																																																																																																												
OG0009397					GCF_000336425.1|WP_015378057.1																																																																																																																																												
OG0009398					GCF_000336425.1|WP_015378058.1																																																																																																																																												
OG0009399					GCF_000336425.1|WP_015378059.1																																																																																																																																												
OG0009400					GCF_000336425.1|WP_015378221.1																																																																																																																																												
OG0009401					GCF_000336425.1|WP_015378223.1																																																																																																																																												
OG0009402					GCF_000336425.1|WP_015378801.1																																																																																																																																												
OG0009403					GCF_000336425.1|WP_015379126.1																																																																																																																																												
OG0009404					GCF_000336425.1|WP_041922183.1																																																																																																																																												
OG0009405					GCF_000336425.1|WP_041922218.1																																																																																																																																												
OG0009406					GCF_000336425.1|WP_041922224.1																																																																																																																																												
OG0009407					GCF_000336425.1|WP_041922225.1																																																																																																																																												
OG0009408					GCF_000336425.1|WP_041922255.1																																																																																																																																												
OG0009409					GCF_000336425.1|WP_041922288.1																																																																																																																																												
OG0009410						GCF_000342205.1_SerMar|WP_004929347.1																																																																																																																																											
OG0009411						GCF_000342205.1_SerMar|WP_004929374.1																																																																																																																																											
OG0009412						GCF_000342205.1_SerMar|WP_004929453.1																																																																																																																																											
OG0009413						GCF_000342205.1_SerMar|WP_004929454.1																																																																																																																																											
OG0009414						GCF_000342205.1_SerMar|WP_004929503.1																																																																																																																																											
OG0009415						GCF_000342205.1_SerMar|WP_004929799.1																																																																																																																																											
OG0009416						GCF_000342205.1_SerMar|WP_004929856.1																																																																																																																																											
OG0009417						GCF_000342205.1_SerMar|WP_004930078.1																																																																																																																																											
OG0009418						GCF_000342205.1_SerMar|WP_004930102.1																																																																																																																																											
OG0009419						GCF_000342205.1_SerMar|WP_004930111.1																																																																																																																																											
OG0009420						GCF_000342205.1_SerMar|WP_004930127.1																																																																																																																																											
OG0009421						GCF_000342205.1_SerMar|WP_004930130.1																																																																																																																																											
OG0009422						GCF_000342205.1_SerMar|WP_004934511.1																																																																																																																																											
OG0009423						GCF_000342205.1_SerMar|WP_004934520.1																																																																																																																																											
OG0009424						GCF_000342205.1_SerMar|WP_004937177.1																																																																																																																																											
OG0009425						GCF_000342205.1_SerMar|WP_004937772.1																																																																																																																																											
OG0009426						GCF_000342205.1_SerMar|WP_004937778.1																																																																																																																																											
OG0009427						GCF_000342205.1_SerMar|WP_004937780.1																																																																																																																																											
OG0009428						GCF_000342205.1_SerMar|WP_004937795.1																																																																																																																																											
OG0009429						GCF_000342205.1_SerMar|WP_004937802.1																																																																																																																																											
OG0009430						GCF_000342205.1_SerMar|WP_004937805.1																																																																																																																																											
OG0009431						GCF_000342205.1_SerMar|WP_004937813.1																																																																																																																																											
OG0009432						GCF_000342205.1_SerMar|WP_004940070.1																																																																																																																																											
OG0009433						GCF_000342205.1_SerMar|WP_004940084.1																																																																																																																																											
OG0009434						GCF_000342205.1_SerMar|WP_004940093.1																																																																																																																																											
OG0009435						GCF_000342205.1_SerMar|WP_004940095.1																																																																																																																																											
OG0009436						GCF_000342205.1_SerMar|WP_004940117.1																																																																																																																																											
OG0009437						GCF_000342205.1_SerMar|WP_004940124.1																																																																																																																																											
OG0009438						GCF_000342205.1_SerMar|WP_004940903.1																																																																																																																																											
OG0009439						GCF_000342205.1_SerMar|WP_004940931.1																																																																																																																																											
OG0009440						GCF_000342205.1_SerMar|WP_020827381.1																																																																																																																																											
OG0009441						GCF_000342205.1_SerMar|WP_033645530.1																																																																																																																																											
OG0009442						GCF_000342205.1_SerMar|WP_033645542.1																																																																																																																																											
OG0009443						GCF_000342205.1_SerMar|WP_033645573.1																																																																																																																																											
OG0009444						GCF_000342205.1_SerMar|WP_033645574.1																																																																																																																																											
OG0009445						GCF_000342205.1_SerMar|WP_033645576.1																																																																																																																																											
OG0009446						GCF_000342205.1_SerMar|WP_033645581.1																																																																																																																																											
OG0009447						GCF_000342205.1_SerMar|WP_033645590.1																																																																																																																																											
OG0009448						GCF_000342205.1_SerMar|WP_033645745.1																																																																																																																																											
OG0009449						GCF_000342205.1_SerMar|WP_033645785.1																																																																																																																																											
OG0009450						GCF_000342205.1_SerMar|WP_033645787.1																																																																																																																																											
OG0009451						GCF_000342205.1_SerMar|WP_033645795.1																																																																																																																																											
OG0009452						GCF_000342205.1_SerMar|WP_033645846.1																																																																																																																																											
OG0009453						GCF_000342205.1_SerMar|WP_033645848.1																																																																																																																																											
